Tổng thời gian: 9919.29 giây
Trung bình CER: 0.0464
Trung bình WER: 0.2862
Chi tiết từng ảnh:
Ảnh 126: Thời gian 2.394s, CER 0.0472, WER 0.2702
Ảnh 127: Thời gian 2.428s, CER 0.0455, WER 0.2740
Ảnh 128: Thời gian 2.383s, CER 0.0533, WER 0.3096
Ảnh 129: Thời gian 2.718s, CER 0.0435, WER 0.2804
Ảnh 130: Thời gian 2.439s, CER 0.0419, WER 0.2559
Ảnh 131: Thời gian 2.491s, CER 0.0411, WER 0.2460
Ảnh 132: Thời gian 2.505s, CER 0.0425, WER 0.2725
Ảnh 133: Thời gian 2.367s, CER 0.0502, WER 0.3021
Ảnh 134: Thời gian 2.433s, CER 0.0415, WER 0.2573
Ảnh 135: Thời gian 2.411s, CER 0.0535, WER 0.3181
Ảnh 136: Thời gian 2.466s, CER 0.0471, WER 0.2662
Ảnh 137: Thời gian 2.441s, CER 0.0463, WER 0.2877
Ảnh 138: Thời gian 2.469s, CER 0.0442, WER 0.2890
Ảnh 139: Thời gian 2.463s, CER 0.0443, WER 0.2721
Ảnh 140: Thời gian 2.449s, CER 0.0511, WER 0.3142
Ảnh 141: Thời gian 2.395s, CER 0.0492, WER 0.3063
Ảnh 142: Thời gian 2.473s, CER 0.0405, WER 0.2544
Ảnh 143: Thời gian 2.425s, CER 0.0556, WER 0.3318
Ảnh 144: Thời gian 2.401s, CER 0.0471, WER 0.2917
Ảnh 145: Thời gian 2.428s, CER 0.0480, WER 0.2890
Ảnh 146: Thời gian 2.437s, CER 0.0443, WER 0.2797
Ảnh 147: Thời gian 2.395s, CER 0.0409, WER 0.2597
Ảnh 148: Thời gian 2.446s, CER 0.0435, WER 0.2656
Ảnh 149: Thời gian 2.393s, CER 0.0500, WER 0.2966
Ảnh 150: Thời gian 2.458s, CER 0.0506, WER 0.2952
Ảnh 151: Thời gian 2.440s, CER 0.0464, WER 0.2860
Ảnh 152: Thời gian 2.415s, CER 0.0444, WER 0.2904
Ảnh 153: Thời gian 2.409s, CER 0.0478, WER 0.2995
Ảnh 154: Thời gian 2.424s, CER 0.0504, WER 0.3086
Ảnh 155: Thời gian 2.460s, CER 0.0501, WER 0.2955
Ảnh 156: Thời gian 2.498s, CER 0.0465, WER 0.2876
Ảnh 157: Thời gian 2.440s, CER 0.0466, WER 0.2799
Ảnh 158: Thời gian 2.389s, CER 0.0439, WER 0.2791
Ảnh 159: Thời gian 2.381s, CER 0.0524, WER 0.3201
Ảnh 160: Thời gian 2.414s, CER 0.0452, WER 0.3014
Ảnh 161: Thời gian 2.426s, CER 0.0543, WER 0.3303
Ảnh 162: Thời gian 2.419s, CER 0.0477, WER 0.3000
Ảnh 163: Thời gian 2.420s, CER 0.0388, WER 0.2553
Ảnh 164: Thời gian 2.459s, CER 0.0407, WER 0.2582
Ảnh 165: Thời gian 2.433s, CER 0.0447, WER 0.2650
Ảnh 166: Thời gian 2.443s, CER 0.0462, WER 0.2966
Ảnh 167: Thời gian 2.493s, CER 0.0453, WER 0.2815
Ảnh 168: Thời gian 2.442s, CER 0.0513, WER 0.2860
Ảnh 169: Thời gian 2.461s, CER 0.0456, WER 0.2913
Ảnh 170: Thời gian 2.390s, CER 0.0515, WER 0.3087
Ảnh 171: Thời gian 2.359s, CER 0.0436, WER 0.2769
Ảnh 172: Thời gian 2.526s, CER 0.0441, WER 0.2535
Ảnh 173: Thời gian 2.402s, CER 0.0556, WER 0.3310
Ảnh 174: Thời gian 2.643s, CER 0.0405, WER 0.2676
Ảnh 175: Thời gian 2.523s, CER 0.0410, WER 0.2552
Ảnh 176: Thời gian 2.466s, CER 0.0518, WER 0.3082
Ảnh 177: Thời gian 2.431s, CER 0.0413, WER 0.2635
Ảnh 178: Thời gian 2.414s, CER 0.0496, WER 0.3105
Ảnh 179: Thời gian 2.459s, CER 0.0429, WER 0.2742
Ảnh 180: Thời gian 2.531s, CER 0.0517, WER 0.3118
Ảnh 181: Thời gian 2.612s, CER 0.0496, WER 0.3224
Ảnh 182: Thời gian 2.609s, CER 0.0458, WER 0.2825
Ảnh 183: Thời gian 2.729s, CER 0.0536, WER 0.3138
Ảnh 184: Thời gian 2.454s, CER 0.0464, WER 0.2733
Ảnh 185: Thời gian 2.451s, CER 0.0376, WER 0.2442
Ảnh 186: Thời gian 2.438s, CER 0.0472, WER 0.2909
Ảnh 187: Thời gian 2.400s, CER 0.0447, WER 0.2847
Ảnh 188: Thời gian 2.427s, CER 0.0505, WER 0.3093
Ảnh 189: Thời gian 2.424s, CER 0.0500, WER 0.3077
Ảnh 190: Thời gian 2.460s, CER 0.0452, WER 0.2854
Ảnh 191: Thời gian 2.483s, CER 0.0493, WER 0.3086
Ảnh 192: Thời gian 2.453s, CER 0.0502, WER 0.2966
Ảnh 193: Thời gian 2.384s, CER 0.0513, WER 0.3301
Ảnh 194: Thời gian 2.448s, CER 0.0469, WER 0.2815
Ảnh 195: Thời gian 2.441s, CER 0.0467, WER 0.2680
Ảnh 196: Thời gian 2.438s, CER 0.0500, WER 0.2959
Ảnh 197: Thời gian 2.422s, CER 0.0472, WER 0.2788
Ảnh 198: Thời gian 2.433s, CER 0.0452, WER 0.2804
Ảnh 199: Thời gian 2.459s, CER 0.0378, WER 0.2426
Ảnh 200: Thời gian 2.396s, CER 0.0430, WER 0.2558
Ảnh 201: Thời gian 2.420s, CER 0.0521, WER 0.2980
Ảnh 202: Thời gian 2.447s, CER 0.0437, WER 0.2723
Ảnh 203: Thời gian 2.477s, CER 0.0504, WER 0.2959
