Image,Time,CER,WER
img_0216.png,4.1367191,0.049954587,0.301552106
img_0217.png,4.202713,0.047445255,0.297235023
img_0218.png,4.1799418,0.042826552,0.254004577
img_0219.png,4.2059802,0.048934254,0.286995516
img_0220.png,4.4364075,0.05375038,0.316964286
img_0221.png,4.3591429,0.044780729,0.286697248
img_0222.png,4.3041938,0.04470447,0.262114537
img_0223.png,4.090317,0.044675643,0.266055046
img_0224.png,4.243932,0.042662632,0.262331839
img_0225.png,4.1034649,0.049083566,0.299287411
img_0226.png,4.2267813,0.049864007,0.299086758
img_0227.png,4.2550047,0.044303797,0.279176201
img_0228.png,4.2252844,0.041951523,0.273364486
img_0229.png,4.1727535,0.048406863,0.289954338
img_0230.png,4.3129233,0.048653611,0.288018433
img_0231.png,4.2172675,0.042427996,0.265446224
img_0232.png,4.3097786,0.049165402,0.308045977
img_0233.png,4.1931941,0.045932153,0.287946429
img_0234.png,4.3161015,0.047792998,0.280973451
img_0235.png,4.2351194,0.040909091,0.256880734
img_0236.png,4.2564317,0.046097111,0.28604119
img_0237.png,4.1121567,0.039840637,0.243243243
img_0238.png,4.2742454,0.041666667,0.254464286
img_0239.png,4.1765739,0.042098841,0.264367816
img_0300.png,4.2895927,0.051908397,0.313501144
img_0301.png,4.2796598,0.045105861,0.286713287
img_0302.png,4.2930065,0.047982885,0.290465632
img_0303.png,4.2546083,0.042257866,0.263513514
img_0304.png,4.2299836,0.047619048,0.277904328
img_0305.png,4.2685591,0.045105861,0.270022883
img_0306.png,4.2973736,0.049984761,0.295711061
img_0307.png,4.1014107,0.049170252,0.299539171
img_0308.png,4.4432442,0.046619327,0.286046512
img_0309.png,4.245703,0.04691358,0.306636156
img_0310.png,4.1791948,0.047791894,0.296127563
img_0311.png,4.2604339,0.041628122,0.271028037
img_0312.png,4.4569632,0.046112116,0.274725275
img_0313.png,4.190317,0.0473992,0.29009434
img_0314.png,4.1764163,0.051026758,0.315789474
img_0315.png,4.0728622,0.042520174,0.262529833
img_0316.png,4.0961567,0.05068408,0.286384977
img_0317.png,4.2382339,0.051998798,0.315673289
img_0318.png,4.1278479,0.049984477,0.30548926
img_0319.png,4.2227155,0.047224778,0.298850575
img_0260.png,4.284233,0.044423734,0.269953052
img_0261.png,4.4075632,0.047676524,0.297356828
img_0262.png,4.2569518,0.041576171,0.258823529
img_0263.png,4.2276918,0.042192793,0.26635514
img_0264.png,4.2281409,0.047429621,0.285714286
img_0265.png,4.1639184,0.045994517,0.274774775
img_0266.png,4.2494883,0.055073331,0.326621924
img_0267.png,4.2616044,0.041894353,0.263279446
img_0268.png,4.360028,0.053276179,0.331034483
img_0269.png,4.2052095,0.044217687,0.256410256
img_0270.png,4.1235316,0.040049291,0.243119266
img_0271.png,4.313234,0.041452345,0.266365688
img_0272.png,4.481795,0.047804004,0.296803653
img_0273.png,4.165469,0.035305048,0.232941176
img_0274.png,4.124195,0.048549618,0.309133489
img_0275.png,4.2615745,0.049923896,0.308219178
img_0276.png,4.2046347,0.047911548,0.292237443
img_0277.png,4.2543957,0.042708969,0.27293578
img_0278.png,4.3162422,0.047373216,0.272727273
img_0279.png,4.1639496,0.042722002,0.271689498
img_0240.png,4.4255091,0.052202776,0.31011236
img_0241.png,4.4437778,0.057013575,0.333333333
img_0242.png,4.4201538,0.045454545,0.292906178
img_0243.png,4.424093,0.041704718,0.257336343
img_0244.png,4.1997261,0.0472103,0.292626728
img_0245.png,4.3680763,0.041943271,0.268348624
img_0246.png,4.2677806,0.046946916,0.29342723
img_0247.png,4.4795637,0.040722596,0.251685393
img_0248.png,4.2932446,0.044803414,0.278037383
img_0249.png,4.3534189,0.045676005,0.267898383
img_0250.png,4.1658667,0.042040185,0.247706422
img_0251.png,4.2785402,0.043213634,0.262443439
img_0252.png,4.2956185,0.039057657,0.232718894
img_0253.png,4.2455966,0.048765432,0.283018868
img_0254.png,4.3550087,0.048528966,0.315420561
img_0255.png,4.2466507,0.045674531,0.280269058
img_0256.png,4.3455148,0.049519808,0.301801802
img_0257.png,4.4115445,0.044538068,0.263038549
img_0258.png,4.3053385,0.047383091,0.297423888
img_0259.png,4.4697207,0.046654389,0.292740047
img_0280.png,4.3238214,0.047444138,0.288056206
img_0281.png,4.3842451,0.050377074,0.302690583
img_0282.png,4.3056866,0.045221586,0.273972603
img_0283.png,4.3349991,0.047069541,0.29330254
img_0284.png,4.2127767,0.049070405,0.298876404
img_0285.png,4.4192763,0.040425532,0.257918552
img_0286.png,4.2851908,0.048647005,0.30875576
img_0287.png,4.3880989,0.045182525,0.274122807
img_0288.png,4.3894219,0.046172539,0.289954338
img_0289.png,4.4036786,0.047289157,0.27765237
img_0290.png,4.086434,0.043505477,0.264285714
img_0291.png,4.329329,0.047402005,0.271689498
img_0292.png,4.4428171,0.041565534,0.271910112
img_0293.png,4.2552697,0.0431543,0.268348624
img_0294.png,4.375511,0.047835301,0.30044843
img_0295.png,4.283209,0.041163726,0.266055046
img_0296.png,4.2150498,0.043095599,0.260674157
img_0297.png,4.3555683,0.044848485,0.265625
img_0298.png,4.2900658,0.046040516,0.291284404
img_0299.png,4.5588361,0.042468683,0.258581236
img_0340.png,4.1828401,0.049480757,0.295612009
img_0341.png,4.2587562,0.056193729,0.330969267
img_0342.png,4.3487693,0.051057402,0.321917808
img_0343.png,4.4575191,0.045592705,0.276255708
img_0344.png,4.3859256,0.038565022,0.239651416
img_0345.png,4.291209,0.047062442,0.280092593
img_0346.png,4.2993942,0.044003719,0.267605634
img_0347.png,4.5911723,0.048751128,0.296629213
img_0348.png,4.3305552,0.046369738,0.287946429
img_0349.png,4.403554,0.048327138,0.286697248
img_0350.png,4.3168575,0.045189056,0.29009434
img_0351.png,4.5065775,0.046210721,0.28604119
img_0352.png,4.4491156,0.043802423,0.264637002
img_0353.png,4.482719,0.050151057,0.326436782
img_0354.png,4.4120015,0.04537037,0.278801843
img_0355.png,4.4253562,0.044665012,0.265882353
img_0356.png,4.2172528,0.04165409,0.253363229
img_0357.png,4.114721,0.047412457,0.295194508
img_0358.png,4.1870017,0.044682752,0.292134831
img_0359.png,3.9928459,0.046353523,0.270334928
img_0320.png,4.391021,0.047503782,0.302222222
img_0321.png,4.3102249,0.058787694,0.359550562
img_0322.png,4.3373591,0.047895058,0.30044843
img_0323.png,4.4422157,0.053272451,0.316901408
img_0324.png,4.2334655,0.052996086,0.332594235
img_0325.png,4.3260634,0.049984853,0.293064877
img_0326.png,4.3785007,0.050196553,0.301369863
img_0327.png,4.4559179,0.040388703,0.26146789
img_0328.png,4.4295404,0.04738612,0.299765808
img_0329.png,4.4664098,0.047751938,0.305555556
img_0330.png,4.4616644,0.05232735,0.321596244
img_0331.png,4.4748992,0.050713635,0.297968397
img_0332.png,4.3137813,0.047531993,0.282758621
img_0333.png,4.1672037,0.044794563,0.294811321
img_0334.png,4.5985188,0.050924523,0.312643678
img_0335.png,4.653818,0.043915828,0.290540541
img_0336.png,4.6349608,0.049776453,0.292035398
img_0337.png,4.3641373,0.048021746,0.287640449
img_0338.png,4.092945,0.039357683,0.263157895
img_0339.png,4.0487405,0.044003719,0.245901639
img_0380.png,4.1741403,0.042176039,0.261958998
img_0381.png,4.1993942,0.050505051,0.305747126
img_0382.png,4.2646284,0.041868932,0.255079007
img_0383.png,4.2559474,0.043544925,0.252293578
img_0384.png,4.2805497,0.043478261,0.266365688
img_0385.png,4.3434515,0.045399147,0.265168539
img_0386.png,4.3920303,0.047648325,0.287037037
img_0387.png,4.4647132,0.052392489,0.305429864
img_0388.png,4.4038618,0.048862938,0.304147465
img_0389.png,4.3824831,0.043187348,0.268792711
img_0390.png,4.3486324,0.049623116,0.305288462
img_0391.png,4.4467096,0.04448507,0.280542986
img_0392.png,4.3039962,0.051447936,0.30787037
img_0393.png,4.496744,0.035586124,0.229213483
img_0394.png,4.4225375,0.04560456,0.280269058
img_0395.png,4.6573459,0.049939467,0.304250559
img_0396.png,4.1188107,0.043181112,0.268965517
img_0397.png,4.4178872,0.049480757,0.314553991
img_0398.png,4.2545967,0.046740467,0.288416076
img_0399.png,4.134813,0.041641702,0.260579065
img_0360.png,4.1594308,0.046163253,0.28440367
img_0361.png,4.2566036,0.042347247,0.264705882
img_0362.png,4.2081651,0.044072005,0.280660377
img_0363.png,4.3545404,0.042662632,0.270642202
img_0364.png,4.2219276,0.043385273,0.271662763
img_0365.png,4.2916524,0.040978593,0.244755245
img_0366.png,4.3987565,0.045537897,0.313084112
img_0367.png,4.336875,0.046248086,0.284705882
img_0368.png,4.3364372,0.04531347,0.288683603
img_0369.png,4.3767678,0.043079743,0.260089686
img_0370.png,4.3991306,0.037787183,0.242825607
img_0371.png,4.5541645,0.044940385,0.27293578
img_0372.png,4.3907928,0.044013543,0.271264368
img_0373.png,4.3891708,0.046176912,0.291196388
img_0374.png,4.4506731,0.049200121,0.280701754
