Ảnh,Thời gian (s),CER,WER
480,2.434,0.0412,0.2645
481,2.428,0.0481,0.3138
482,2.397,0.0455,0.2860
483,2.350,0.0474,0.3012
484,2.422,0.0471,0.2848
485,2.460,0.0461,0.2819
486,2.430,0.0507,0.3126
487,2.431,0.0450,0.2706
488,2.452,0.0532,0.3219
489,2.466,0.0416,0.2622
490,2.407,0.0399,0.2512
491,2.413,0.0458,0.2789
492,2.432,0.0456,0.2806
493,2.375,0.0436,0.2746
494,2.424,0.0451,0.2775
495,2.404,0.0411,0.2667
496,2.442,0.0456,0.3025
497,2.396,0.0422,0.2885
498,2.445,0.0516,0.3057
499,2.329,0.0431,0.2751
500,2.399,0.0493,0.2944
501,2.436,0.0405,0.2625
502,2.416,0.0495,0.3014
503,2.401,0.0445,0.2793
504,2.464,0.0573,0.3272
505,2.430,0.0496,0.3080
506,2.446,0.0524,0.3098
507,2.460,0.0411,0.2710
508,2.424,0.0428,0.2838
509,2.425,0.0536,0.3189
510,2.450,0.0476,0.3057
511,2.457,0.0427,0.2667
512,2.407,0.0448,0.2706
513,2.386,0.0395,0.2562
514,2.397,0.0518,0.3032
515,2.437,0.0533,0.3056
516,2.407,0.0425,0.2715
517,2.379,0.0502,0.3023
518,2.474,0.0466,0.2924
519,2.407,0.0372,0.2459
520,2.340,0.0464,0.2790
521,2.427,0.0431,0.2815
522,2.393,0.0445,0.2683
523,2.434,0.0417,0.2443
524,2.394,0.0539,0.3404
525,2.375,0.0474,0.2821
526,2.348,0.0422,0.2759
527,2.377,0.0481,0.3056
528,2.417,0.0479,0.3064
529,2.400,0.0423,0.2757
530,2.348,0.0478,0.2920
531,2.446,0.0491,0.3057
532,2.437,0.0462,0.2785
533,2.432,0.0467,0.2759
534,2.421,0.0441,0.2762
535,2.367,0.0512,0.3096
536,2.403,0.0486,0.3034
537,2.411,0.0455,0.2988
538,2.393,0.0437,0.2575
539,2.409,0.0544,0.3059
540,2.338,0.0466,0.3037
541,2.481,0.0438,0.2721
542,2.497,0.0454,0.2851
543,2.359,0.0519,0.3341
544,2.395,0.0446,0.2809
545,2.345,0.0415,0.2517
546,2.426,0.0393,0.2578
547,2.368,0.0558,0.3082
548,2.383,0.0498,0.2952
549,2.441,0.0515,0.3295
550,2.418,0.0504,0.2998
551,2.418,0.0456,0.2729
552,2.395,0.0480,0.3096
553,2.393,0.0436,0.2575
554,2.333,0.0461,0.2738
555,2.534,0.0429,0.2634
556,2.438,0.0472,0.2982
557,2.332,0.0471,0.2943
558,2.380,0.0444,0.2692
