Tổng thời gian: 1162.91 giây
Thời gian/ảnh: 4.534s
Trung bình CER: 0.0465
Trung bình WER: 0.2866
Chi tiết từng ảnh:
img_0175.png: 3.312s, CER 0.0441, WER 0.2757
img_0176.png: 3.379s, CER 0.0430, WER 0.2703
img_0177.png: 3.264s, CER 0.0505, WER 0.3159
img_0178.png: 3.243s, CER 0.0490, WER 0.3029
img_0179.png: 3.382s, CER 0.0443, WER 0.2777
img_0180.png: 3.295s, CER 0.0460, WER 0.2767
img_0181.png: 3.253s, CER 0.0514, WER 0.3219
img_0182.png: 3.292s, CER 0.0490, WER 0.3185
img_0183.png: 3.400s, CER 0.0447, WER 0.2805
img_0184.png: 11.436s, CER 0.0501, WER 0.3059
img_0185.png: 3.559s, CER 0.0515, WER 0.3257
img_0186.png: 3.958s, CER 0.0453, WER 0.2805
img_0187.png: 3.309s, CER 0.0479, WER 0.2982
img_0188.png: 3.297s, CER 0.0558, WER 0.3218
img_0189.png: 3.657s, CER 0.0454, WER 0.2938
img_0190.png: 3.757s, CER 0.0480, WER 0.2981
img_0191.png: 3.659s, CER 0.0408, WER 0.2719
img_0192.png: 3.320s, CER 0.0419, WER 0.2665
img_0193.png: 9.059s, CER 0.0485, WER 0.3005
img_0194.png: 3.439s, CER 0.0457, WER 0.2944
img_0195.png: 3.380s, CER 0.0478, WER 0.2729
img_0196.png: 3.352s, CER 0.0444, WER 0.2723
img_0197.png: 3.290s, CER 0.0462, WER 0.3096
img_0198.png: 3.287s, CER 0.0415, WER 0.2700
img_0199.png: 3.372s, CER 0.0472, WER 0.2883
img_0220.png: 3.302s, CER 0.0538, WER 0.3170
img_0221.png: 3.370s, CER 0.0448, WER 0.2867
img_0222.png: 3.367s, CER 0.0447, WER 0.2621
img_0223.png: 3.358s, CER 0.0447, WER 0.2661
img_0224.png: 11.503s, CER 0.0427, WER 0.2623
img_0225.png: 3.703s, CER 0.0491, WER 0.2993
img_0226.png: 3.821s, CER 0.0499, WER 0.2991
img_0227.png: 3.378s, CER 0.0443, WER 0.2792
img_0228.png: 3.388s, CER 0.0420, WER 0.2734
img_0229.png: 3.489s, CER 0.0484, WER 0.2900
img_0230.png: 3.787s, CER 0.0487, WER 0.2880
img_0231.png: 3.343s, CER 0.0424, WER 0.2654
img_0232.png: 3.424s, CER 0.0492, WER 0.3080
img_0233.png: 8.926s, CER 0.0459, WER 0.2879
img_0234.png: 3.385s, CER 0.0478, WER 0.2810
img_0235.png: 3.316s, CER 0.0409, WER 0.2569
img_0236.png: 3.339s, CER 0.0461, WER 0.2860
img_0237.png: 3.308s, CER 0.0398, WER 0.2432
img_0238.png: 3.451s, CER 0.0417, WER 0.2545
img_0239.png: 3.283s, CER 0.0421, WER 0.2644
img_0200.png: 3.410s, CER 0.0456, WER 0.2933
img_0201.png: 3.376s, CER 0.0487, WER 0.3034
img_0202.png: 3.490s, CER 0.0441, WER 0.2744
img_0203.png: 3.287s, CER 0.0465, WER 0.2886
img_0204.png: 11.446s, CER 0.0448, WER 0.2661
img_0205.png: 3.733s, CER 0.0451, WER 0.2779
img_0206.png: 3.846s, CER 0.0510, WER 0.3073
img_0207.png: 3.333s, CER 0.0435, WER 0.2725
img_0208.png: 3.260s, CER 0.0373, WER 0.2345
img_0209.png: 3.814s, CER 0.0436, WER 0.2906
img_0210.png: 3.511s, CER 0.0478, WER 0.2933
img_0211.png: 3.630s, CER 0.0453, WER 0.2883
img_0212.png: 4.261s, CER 0.0493, WER 0.3030
img_0213.png: 8.310s, CER 0.0491, WER 0.3170
img_0214.png: 3.335s, CER 0.0477, WER 0.2864
img_0215.png: 3.438s, CER 0.0453, WER 0.2805
img_0216.png: 3.338s, CER 0.0500, WER 0.3016
img_0217.png: 3.293s, CER 0.0474, WER 0.2972
img_0218.png: 3.349s, CER 0.0428, WER 0.2540
img_0219.png: 3.374s, CER 0.0489, WER 0.2870
img_0240.png: 3.363s, CER 0.0522, WER 0.3101
